location,pre_mean,post_mean,change
"Jefferson County, AL",662.4829090909091,660.4318000000001,-2.0511090909089944
"Orleans Parish, LA",478.51318181818175,342.0036,-136.50958181818174
Difference-in-Differences Effect,,,-134.45847272727275
